"('calculation', 'fracz fracz =', 'fracz expz =', 'expl')","[['calculation', 'fracz fracz =', 'fracz expz ='], ['calculation', 'fracz fracz =', 'expl'], ['fracz expz =', 'fracz fracz =', 'expl']]"
"('increasing', 'designer')","[['increasing', 'designer']]"
"('sc2',)",[['sc2']]
"('form', 'decimal', 'unsigned', 'interpreted', 'single', '100', 'block')","[['decimal', 'single', 'unsigned', 'form', 'interpreted', '100'], ['decimal', 'single', 'unsigned', 'form', 'interpreted', 'block'], ['100', 'interpreted', 'block']]"
"('3-1',)",[['3-1']]
"('latency', '157', 'field', 'fraction', 'required datapath:', 'absolute')","[['latency', 'field', 'absolute', '157', 'fraction', 'required datapath:']]"
"('expb expz', 'expb expz =')","[['expb expz', 'expb expz =']]"
"('rather', 'absolute value', 'unique')","[['rather', 'absolute value', 'unique']]"
"('enable',)",[['enable']]
"('md4/md3',)",[['md4/md3']]
"('fixed', 'described')","[['fixed', 'described']]"
"('pipeline', 'infinity', 'pipeline diagram', 'pipeline registers,', 'diagram', 'qnan when norm,', 'norm', '255')","[['pipeline registers,', 'infinity', 'pipeline', 'diagram'], ['pipeline registers,', 'infinity', 'pipeline', 'qnan when norm,', 'pipeline diagram', 'norm'], ['pipeline registers,', 'infinity', '255'], ['diagram', 'pipeline', 'qnan when norm,', 'pipeline diagram', 'norm'], ['diagram', 'pipeline', 'infinity', '255'], ['norm', 'pipeline diagram', 'qnan when norm,', 'pipeline', 'infinity', '255']]"
"('number representation',)",[['number representation']]
"('false', 'distinct', 'relation', 'committee', 'answer', 'ieee committee')","[['distinct', 'ieee committee', 'false', 'relation'], ['distinct', 'ieee committee', 'false', 'committee'], ['distinct', 'ieee committee', 'answer'], ['relation', 'false', 'committee'], ['relation', 'false', 'ieee committee', 'answer'], ['committee', 'false', 'ieee committee', 'answer']]"
"('range', 'compromise', 'accuracy')","[['compromise', 'range', 'accuracy']]"
"('status', 'provided', 'guarantees', 'divides')","[['guarantees', 'provided', 'status', 'divides']]"
"('set rsa',)",[['set rsa']]
